1|1|36|10/03/2012|14
2|1|34|10/03/2012|13
3|2|33|10/03/2012|12
4|2|31|10/03/2012|
5|5|30|10/03/2012|10
6|6|10|10/03/2012|2
7|7|1|10/03/2012|1
8|1|2|11/03/2012|
9|2|4|11/03/2012|7
10|3|17|11/03/2012|8
11|4|16|11/03/2012|11
12|5|26|11/03/2012|13
13|6|6|11/03/2012|14
14|7|5|11/03/2012|
15|1|15|12/03/2012|5
16|2|13|12/03/2012|
17|3|11|12/03/2012|2
18|4|10|12/03/2012|9
19|5|1|12/03/2012|6
20|6|2|12/03/2012|7
21|7|3|12/03/2012|9
22|1|5|13/03/2012|14
23|2|18|13/03/2012|
24|3|19|13/03/2012|6
25|4|2|13/03/2012|8
26|5|7|13/03/2012|7
27|6|17|13/03/2012|
28|7|16|13/03/2012|14
29|1|27|14/03/2012|6
30|2|22|14/03/2012|7
31|3|21|14/03/2012|5
32|4|34|14/03/2012|14
33|5|32|14/03/2012|5
34|6|31|14/03/2012|
35|7|16|14/03/2012|3
36|1|3|15/03/2012|9
